Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Duration,Total_Stops,Price
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,22:10,165,0,4778
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1290,1 ,25735
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,375,1 ,27992
Vistara Premium economy,2019-01-03,Chennai,Kolkata,MAA → CCU,07:05,135,0,9125
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,14:05,1135,1 ,20800
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,685,1 ,26890
Air India,2019-01-03,Mumbai,Hyderabad,BOM → HYD,15:00,85,0,6092
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1555,1 ,26890
IndiGo,2019-01-03,Banglore,New Delhi,BLR → NAG → DEL,16:50,285,1 ,13302
SpiceJet,2019-01-03,Mumbai,Hyderabad,BOM → HYD,05:45,80,0,12475
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:00,1265,1 ,22270
Jet Airways Business,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,340,1 ,79512
Multiple carriers,2019-01-03,Delhi,Cochin,DEL → BOM → COK,00:20,910,1 ,23170
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,05:45,805,1 ,27992
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,21:25,160,0,4778
Air Asia,2019-01-03,Banglore,New Delhi,BLR → DEL,23:25,165,0,10873
SpiceJet,2019-01-03,Chennai,Kolkata,MAA → CCU,17:45,140,0,7718
Air India,2019-01-03,Banglore,New Delhi,BLR → COK → DEL,22:00,1520,1 ,14305
IndiGo,2019-01-03,Banglore,New Delhi,BLR → IDR → DEL,13:40,295,1 ,8707
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,22:50,1220,1 ,25735
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,16:55,470,1 ,26890
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BDQ → DEL,05:50,390,1 ,28097
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,11:05,525,1 ,14594
Air India,2019-01-03,Kolkata,Banglore,CCU → BLR,14:15,150,0,6535
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,08:30,180,0,10067
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,1280,1 ,20800
IndiGo,2019-01-03,Kolkata,Banglore,CCU → BLR,09:35,165,0,6565
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,495,1 ,26890
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,08:55,745,1 ,27992
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,11:40,580,1 ,27992
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,18:25,175,0,12649
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,18:40,860,1 ,31825
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → BHO → DEL,08:50,875,2  ,26743
SpiceJet,2019-01-03,Mumbai,Hyderabad,BOM → HYD,22:45,85,0,11005
IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,07:30,290,1 ,8110
Jet Airways Business,2019-01-03,Banglore,New Delhi,BLR → MAA → DEL,09:45,280,1 ,57209
Air India,2019-01-03,Delhi,Cochin,DEL → BOM → COK,23:00,1215,1 ,27430
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,21:20,175,0,12649
Multiple carriers,2019-01-03,Delhi,Cochin,DEL → BOM → COK,19:00,395,1 ,23533
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → IDR → DEL,06:45,1705,2  ,20999
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,18:40,365,1 ,35185
IndiGo,2019-01-03,Banglore,New Delhi,BLR → HYD → DEL,12:10,295,1 ,9694
Air India,2019-01-03,Banglore,New Delhi,BLR → MAA → DEL,11:50,725,1 ,26092
Jet Airways,2019-01-03,Banglore,New Delhi,BLR → BOM → DEL,07:00,1325,1 ,26890
Air India,2019-01-03,Banglore,New Delhi,BLR → CCU → DEL,11:05,700,1 ,14069
IndiGo,2019-01-03,Chennai,Kolkata,MAA → CCU,05:15,140,0,7295
Air India,2019-01-03,Banglore,New Delhi,BLR → BOM → IDR → DEL,08:50,1580,2  ,19372
IndiGo,2019-01-03,Banglore,New Delhi,BLR → DEL,10:05,175,0,10067
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:25,1120,1 ,11467
SpiceJet,2019-01-04,Kolkata,Banglore,CCU → BLR,22:20,140,0,3873
IndiGo,2019-01-04,Mumbai,Hyderabad,BOM → HYD,09:10,90,0,3342
Vistara,2019-01-04,Banglore,Delhi,BLR → DEL,09:45,170,0,5403
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1400,1 ,7064
Air Asia,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,07:35,710,1 ,5192
Air India,2019-01-04,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,1045,2  ,11516
Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,1165,2  ,12639
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,09:35,575,1 ,9314
Air India,2019-01-04,Banglore,Delhi,BLR → DEL,21:05,170,0,4441
Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → COK → TRV → BLR,10:00,1470,3  ,12954
IndiGo,2019-01-04,Banglore,Delhi,BLR → DEL,00:30,175,0,4423
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1285,1 ,7064
Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,15:15,175,0,4544
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1495,1 ,7064
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,06:30,855,1 ,12681
Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → AMD → BLR,07:00,1345,2  ,12219
Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,06:00,165,0,7229
Vistara,2019-01-04,Banglore,Delhi,BLR → DEL,07:00,160,0,5403
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,06:30,800,1 ,12681
Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,11:10,175,0,7229
IndiGo,2019-01-04,Kolkata,Banglore,CCU → BLR,14:25,150,0,4174
Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,17:00,1065,1 ,9187
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1400,1 ,12681
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1720,1 ,12681
Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,17:45,180,0,7229
SpiceJet,2019-01-04,Delhi,Cochin,DEL → PNQ → COK,08:45,270,1 ,4812
Jet Airways,2019-01-04,Delhi,Cochin,DEL → BOM → COK,17:30,1145,1 ,5406
Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:30,745,1 ,7893
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,20:00,960,1 ,12681
Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,07:10,975,1 ,7927
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,14:05,570,1 ,13364
GoAir,2019-01-04,Delhi,Cochin,DEL → BOM → COK,10:35,540,1 ,5281
SpiceJet,2019-01-04,Mumbai,Hyderabad,BOM → HYD,05:45,90,0,1965
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,21:10,665,1 ,8849
Air India,2019-01-04,Kolkata,Banglore,CCU → HYD → BLR,19:00,890,1 ,4227
Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,920,2  ,10408
Jet Airways,2019-01-04,Delhi,Cochin,DEL → BOM → COK,16:00,1235,1 ,5406
IndiGo,2019-01-04,Delhi,Cochin,DEL → HYD → COK,07:35,275,1 ,5073
SpiceJet,2019-01-04,Kolkata,Banglore,CCU → BLR,06:55,155,0,3873
Air India,2019-01-04,Kolkata,Banglore,CCU → GAU → IMF → DEL → BLR,16:45,1830,3  ,8607
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,09:35,505,1 ,11467
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,21:10,450,1 ,13364
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,16:30,365,1 ,12681
Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:30,1605,1 ,7211
Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,18:55,185,0,7229
Air India,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,16:50,905,1 ,7893
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,20:00,1220,1 ,12681
SpiceJet,2019-01-04,Kolkata,Banglore,CCU → BLR,09:00,145,0,3873
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:25,800,1 ,14151
Jet Airways,2019-01-04,Banglore,Delhi,BLR → DEL,19:50,180,0,7229
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,14:05,345,1 ,13364
Jet Airways,2019-01-04,Mumbai,Hyderabad,BOM → HYD,02:55,85,0,2228
Jet Airways,2019-01-04,Mumbai,Hyderabad,BOM → HYD,07:05,85,0,8040
Air Asia,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,22:40,720,1 ,5192
IndiGo,2019-01-04,Delhi,Cochin,DEL → HYD → COK,06:50,320,1 ,5298
Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,07:10,1555,1 ,7980
IndiGo,2019-01-04,Kolkata,Banglore,CCU → BLR,09:35,165,0,4174
Air India,2019-01-04,Banglore,Delhi,BLR → DEL,17:00,165,0,5176
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,21:10,730,1 ,13364
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,20:00,960,1 ,7064
IndiGo,2019-01-04,Kolkata,Banglore,CCU → GAU → BLR,15:10,320,1 ,8567
Air India,2019-01-04,Kolkata,Banglore,CCU → HYD → BLR,19:00,580,1 ,4227
SpiceJet,2019-01-04,Kolkata,Banglore,CCU → IXB → BLR,15:55,330,1 ,7646
GoAir,2019-01-04,Delhi,Cochin,DEL → AMD → COK,07:25,370,1 ,4563
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,06:30,590,1 ,12996
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,08:25,590,1 ,7064
IndiGo,2019-01-04,Kolkata,Banglore,CCU → MAA → BLR,17:35,280,1 ,5699
IndiGo,2019-01-04,Banglore,Delhi,BLR → DEL,16:55,180,0,4823
IndiGo,2019-01-04,Kolkata,Banglore,CCU → BLR,11:30,155,0,4174
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:25,870,1 ,11467
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1660,1 ,7064
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,20:00,1430,1 ,7064
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,1285,1 ,12681
Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,17:00,385,1 ,8610
Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,17:00,965,1 ,8662
Air India,2019-01-04,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,970,2  ,9920
Air India,2019-01-04,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,1830,2  ,9237
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,06:30,1545,1 ,7064
Air Asia,2019-01-04,Kolkata,Banglore,CCU → BBI → BLR,06:50,220,1 ,5162
SpiceJet,2019-01-04,Kolkata,Banglore,CCU → BLR,09:00,145,0,3841
SpiceJet,2019-01-04,Banglore,Delhi,BLR → DEL,09:30,170,0,3971
Air India,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,16:50,1540,1 ,7893
IndiGo,2019-01-04,Kolkata,Banglore,CCU → BLR,17:15,155,0,4174
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → BOM → BLR,18:55,585,1 ,12681
IndiGo,2019-01-04,Delhi,Cochin,DEL → MAA → COK,02:00,325,1 ,5164
SpiceJet,2019-01-04,Banglore,Delhi,BLR → DEL,05:55,160,0,3919
Air India,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,17:30,925,1 ,7893
Vistara,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,20:20,1625,1 ,7927
Jet Airways,2019-01-04,Kolkata,Banglore,CCU → DEL → BLR,09:35,690,1 ,8066
IndiGo,2019-01-04,Kolkata,Banglore,CCU → BLR,20:20,155,0,4488
